CREDITRATING,BalanceCheque,Loan_NurnMonth,CreditHistory,CreditAmt,SavingsBalance,Mths_employ,PersonStatusSex,PresentResidence,Property,AgeInYears,OtherInstPlans,NumCreditsThisBank,NumPplLiablMaint,Telephone,ForeignWorker,Purpose_CarNew,Purpose_CarOld,otherdebtor_noneVsGuar,otherdebt_coapplVsGuar,house_rentVsFree,house_ownsVsFree,job_unemployedVsMgt,jobs_unskilledVsMgt,job_skilledVsMgt
0,0,6,4,12,4,5,2,4,0,67,2,2,1,1,0,0,0,1,0,0,1,0,0,1
1,1,48,1,60,0,3,1,2,0,22,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,3,12,4,21,0,4,2,3,0,49,2,1,2,0,0,0,0,1,0,0,1,0,1,0
0,0,42,1,79,0,4,2,4,1,45,2,1,2,0,0,0,0,0,0,0,0,0,0,1
1,0,24,3,49,0,3,2,4,3,53,2,2,2,0,0,1,0,1,0,0,0,0,0,1
0,3,36,1,91,4,3,2,4,3,35,2,1,2,1,0,0,0,1,0,0,0,0,1,0
0,3,24,1,28,2,5,2,4,1,53,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,36,1,69,0,3,2,2,2,35,2,1,1,1,0,0,1,1,0,1,0,0,0,0
0,3,12,1,31,3,4,0,4,0,61,2,1,1,0,0,0,0,1,0,0,1,0,1,0
1,1,30,4,52,0,1,3,2,2,28,2,2,1,0,0,1,0,1,0,0,1,0,0,0
1,1,12,1,13,0,2,1,1,2,25,2,1,1,0,0,1,0,1,0,1,0,0,0,1
1,0,48,1,43,0,2,1,4,1,24,2,1,1,0,0,0,0,1,0,1,0,0,0,1
0,1,12,1,16,0,3,1,1,2,22,2,1,1,1,0,0,0,1,0,0,1,0,0,1
1,0,24,4,12,0,5,2,4,2,60,2,2,1,0,0,1,0,1,0,0,1,0,1,0
0,0,15,1,14,0,3,1,4,2,28,2,1,1,0,0,1,0,1,0,1,0,0,0,1
1,0,24,1,13,1,3,1,2,2,32,2,1,1,0,0,0,0,1,0,0,1,0,1,0
0,3,24,4,24,4,5,2,4,1,53,2,2,1,0,0,0,0,1,0,0,1,0,0,1
0,0,30,2,81,4,2,2,3,2,25,0,3,1,0,0,0,0,1,0,0,1,0,0,1
1,1,24,1,126,0,5,1,2,3,44,2,1,1,1,0,0,1,1,0,0,0,0,0,0
0,3,24,1,34,2,5,2,2,2,31,2,1,2,1,0,0,0,1,0,0,1,0,0,1
0,3,9,4,21,0,3,2,4,2,48,2,3,1,1,0,1,0,1,0,0,1,0,0,1
0,0,6,1,26,2,3,2,3,0,44,2,1,2,0,0,0,0,1,0,1,0,0,0,1
0,0,10,4,22,0,2,2,3,0,48,2,2,2,0,1,1,0,1,0,1,0,0,1,0
0,1,12,4,18,1,2,2,4,1,44,2,1,1,0,0,0,1,1,0,0,1,0,0,1
0,3,10,4,21,4,3,3,1,2,26,2,2,1,0,1,0,0,1,0,0,1,0,0,1
0,0,6,1,14,0,3,2,2,0,36,0,1,1,1,0,0,0,1,0,0,1,0,1,0
0,3,6,2,4,0,5,3,4,2,39,2,1,1,0,0,0,0,1,0,0,1,0,1,0
0,2,12,0,4,3,3,1,3,0,42,2,2,1,0,0,0,0,1,0,1,0,0,0,1
0,1,7,1,24,0,3,2,2,0,34,2,1,1,0,0,0,0,0,0,0,1,0,0,1
1,0,60,3,68,0,5,2,4,3,63,2,2,1,1,0,0,0,1,0,0,1,0,0,1
0,1,18,1,19,3,2,3,3,0,36,0,1,1,1,0,0,0,1,0,0,1,0,0,1
0,0,24,1,40,0,3,2,2,2,27,1,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,18,1,59,1,3,2,2,2,30,2,2,1,1,0,1,0,1,0,0,1,0,0,1
0,3,12,4,13,4,5,2,4,3,57,2,1,1,0,0,0,0,1,0,1,0,0,1,0
0,2,12,1,15,0,2,1,1,1,33,0,1,1,1,0,0,0,1,0,0,1,0,0,0
1,1,45,4,47,0,2,2,2,1,25,2,2,1,0,0,0,0,1,0,0,1,0,1,0
0,3,48,4,61,0,3,2,3,3,31,0,1,1,1,0,0,0,1,0,0,0,0,0,1
1,2,18,1,21,0,3,2,2,0,37,1,1,1,0,0,0,0,0,1,0,1,0,0,1
0,2,10,1,12,0,3,2,2,2,37,2,1,1,1,0,0,0,1,0,0,1,0,0,1
0,1,9,1,5,0,3,2,3,0,24,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,3,30,1,23,2,5,2,2,2,30,0,1,1,0,0,0,0,1,0,0,1,0,0,0
0,1,12,1,12,2,3,0,1,2,26,2,1,1,1,0,0,0,1,0,0,1,0,0,1
0,1,18,3,62,0,3,2,4,0,44,2,1,2,1,0,0,0,1,0,0,1,0,1,0
0,0,30,4,62,1,4,3,4,2,24,2,2,1,0,0,0,1,1,0,1,0,0,0,1
1,0,48,4,61,0,5,1,4,3,58,1,2,1,0,0,0,1,1,0,0,0,0,1,0
0,3,11,4,14,0,2,1,4,2,35,2,2,1,0,0,1,0,1,0,0,1,0,0,0
0,3,36,1,23,2,5,2,4,2,39,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,6,1,14,2,1,1,2,1,23,2,1,1,1,0,0,1,1,0,1,0,1,0,0
0,3,11,4,72,0,3,2,4,1,39,2,2,1,0,0,1,0,1,0,0,1,0,1,0
0,3,12,1,21,1,3,1,2,0,28,2,1,1,0,0,0,0,0,1,0,1,0,0,1
0,1,24,3,23,4,2,2,2,1,29,0,1,1,0,0,0,0,1,0,0,1,0,1,0
0,1,27,3,60,0,5,2,2,2,30,2,2,1,1,0,0,1,1,0,0,1,0,0,0
0,3,12,1,13,0,3,2,2,2,25,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,3,18,1,34,4,3,2,1,1,31,2,1,1,1,0,0,1,1,0,0,1,0,0,1
1,1,36,3,22,0,5,2,4,3,57,0,2,1,1,0,1,0,1,0,0,0,0,0,1
0,3,6,0,8,4,3,2,2,0,26,1,1,2,0,0,1,0,0,0,0,1,0,1,0
1,1,12,1,65,4,1,2,1,3,52,2,1,1,1,0,0,0,1,0,0,1,0,0,0
0,3,36,4,96,0,3,1,2,2,31,1,2,1,0,0,0,0,1,0,0,1,0,0,1
0,2,18,1,20,0,5,1,2,2,23,2,1,1,0,0,1,0,1,0,0,1,0,0,0
1,0,36,4,62,0,2,1,4,3,23,2,2,1,1,0,0,0,0,1,1,0,0,1,0
0,1,9,1,14,0,3,3,1,0,27,0,1,1,1,0,0,0,1,0,0,1,0,0,1
0,1,15,4,15,4,5,2,4,0,50,2,2,1,1,0,0,0,0,0,0,1,0,0,1
1,1,36,2,20,0,5,2,4,3,61,2,1,1,1,0,0,0,1,0,0,0,0,0,0
1,1,48,2,144,0,3,2,2,2,25,2,1,1,1,0,0,0,1,0,0,1,0,0,1
0,3,24,1,32,0,2,1,4,1,26,2,1,1,1,0,0,0,1,0,0,1,0,0,1
0,3,27,1,52,4,5,2,4,1,48,2,4,2,1,0,0,0,1,0,0,1,0,0,1
0,3,12,1,22,0,2,1,2,2,29,0,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,12,1,10,3,3,3,1,0,22,2,1,1,0,0,1,0,1,0,0,1,0,0,1
1,3,36,1,18,0,3,2,4,3,37,1,1,1,1,0,0,0,1,0,0,0,0,0,1
0,3,36,1,24,4,3,1,4,2,25,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,3,36,1,81,0,3,1,2,1,30,0,1,1,0,0,0,1,1,0,0,1,0,0,1
0,3,7,4,7,4,5,2,2,1,46,2,2,1,1,0,0,0,1,0,1,0,0,1,0
0,0,8,4,12,0,5,2,4,3,51,0,2,2,1,0,0,0,1,0,0,0,0,0,0
0,1,42,4,60,0,4,1,1,0,41,0,2,1,0,0,0,0,1,0,0,1,0,1,0
1,0,36,1,20,4,5,2,4,3,40,2,1,1,1,0,0,0,1,0,0,1,0,0,0
0,0,12,4,15,0,5,2,4,3,66,2,2,1,0,0,0,1,1,0,0,0,0,0,0
1,0,42,1,40,0,2,2,3,2,34,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,11,3,48,0,4,2,4,1,51,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,3,54,2,94,4,3,2,2,1,39,2,1,2,0,0,0,1,1,0,0,1,0,1,0
0,1,30,1,38,0,2,3,1,1,22,2,1,1,0,0,0,0,1,0,0,1,0,0,1
1,3,24,1,59,4,2,1,1,2,44,2,2,1,1,0,0,0,1,0,0,1,0,0,1
0,3,15,1,12,2,5,2,3,1,47,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,3,18,1,16,1,3,1,4,1,24,2,1,1,0,0,0,0,1,0,1,0,0,1,0
0,0,24,1,18,0,5,1,4,0,58,2,1,1,1,0,0,0,0,0,0,1,0,1,0
0,0,10,1,23,0,5,2,4,0,52,2,1,1,0,0,0,0,1,0,0,1,0,1,0
0,3,12,4,14,0,3,1,2,0,29,2,2,1,1,0,0,0,0,0,0,1,0,0,0
0,1,18,4,13,0,2,1,1,1,27,2,2,1,0,0,0,0,1,0,0,1,0,0,1
1,1,36,1,126,1,3,2,4,3,47,2,1,2,1,0,0,0,1,0,0,0,0,0,1
0,0,18,1,22,1,4,2,3,2,30,2,1,2,1,0,1,0,1,0,0,1,0,0,0
1,0,12,2,11,0,4,2,3,0,28,2,2,1,0,0,0,0,1,0,0,1,0,0,1
0,3,12,4,6,0,5,2,4,0,56,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,12,4,14,0,5,2,3,0,54,2,1,1,0,0,0,1,1,0,0,1,0,0,1
1,3,12,4,8,4,5,1,3,1,33,0,1,2,0,0,0,0,1,0,0,1,0,1,0
0,2,24,4,36,4,5,2,4,3,20,2,2,1,0,0,0,0,0,1,1,0,0,0,1
0,1,12,1,13,3,5,2,4,0,54,2,1,1,1,0,1,0,1,0,0,1,0,0,1
1,1,54,2,159,0,2,2,4,3,58,2,1,1,1,0,0,0,1,0,1,0,0,0,1
0,3,12,4,20,4,4,1,2,2,61,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,18,1,26,1,3,2,4,2,34,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,36,4,23,0,5,2,4,0,36,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,20,3,71,4,4,2,4,1,36,0,2,2,1,0,0,1,1,0,1,0,0,0,0
0,3,24,1,15,1,5,3,4,0,41,2,1,1,0,0,1,0,1,0,1,0,0,1,0
0,1,36,1,23,0,4,2,4,2,24,2,1,1,0,0,0,0,1,0,1,0,0,0,1
0,3,6,3,9,0,3,1,2,0,24,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,9,4,19,0,4,2,3,2,35,2,1,1,1,0,0,0,1,0,1,0,0,0,1
0,3,12,1,24,4,2,3,4,2,26,2,1,1,1,0,0,1,1,0,1,0,0,0,1
1,1,24,4,119,0,3,2,3,2,39,2,2,2,1,0,0,0,0,1,0,1,0,0,0
1,3,18,0,65,0,5,2,4,3,39,0,2,2,1,0,1,0,1,0,0,1,0,0,0
0,1,12,1,61,0,4,2,2,2,32,2,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,24,1,77,4,2,1,2,1,30,2,1,1,1,1,0,0,1,0,0,1,0,0,1
0,1,14,1,14,2,5,3,2,0,35,2,1,1,1,0,0,0,1,0,0,1,0,0,1
0,1,6,3,14,1,5,0,2,2,31,0,2,2,0,0,0,0,1,0,0,1,0,0,1
0,2,15,1,4,0,2,1,4,1,23,2,1,1,1,0,0,0,1,0,1,0,0,0,1
0,1,18,1,63,0,4,2,3,0,28,2,1,1,0,0,1,0,1,0,1,0,0,1,0
1,3,36,4,79,0,3,1,2,0,25,1,2,1,1,0,1,0,1,0,0,1,0,0,1
0,0,12,1,17,2,5,3,1,0,35,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,3,48,4,36,4,5,2,1,0,47,2,1,1,1,0,0,0,1,0,0,1,0,0,1
1,0,42,1,72,4,4,1,3,2,30,2,1,1,1,0,0,0,1,0,0,1,0,0,0
0,0,10,4,21,4,2,1,3,0,27,2,2,1,0,1,0,0,0,1,1,0,0,0,1
1,0,33,4,43,2,3,1,4,2,23,2,2,1,0,0,0,0,1,0,0,1,0,0,1
0,1,12,4,24,2,4,0,3,2,36,2,1,1,1,0,1,0,1,0,0,1,0,0,0
1,0,21,1,18,0,3,1,2,0,25,2,2,1,1,0,0,0,1,0,0,1,0,0,1
0,3,24,4,39,0,5,1,2,2,41,2,2,1,1,0,0,1,1,0,1,0,0,0,0
0,3,12,1,18,0,3,2,2,0,24,2,1,1,0,0,0,0,1,0,1,0,0,1,0
0,2,10,4,8,0,5,2,4,3,63,2,2,1,1,0,1,0,1,0,0,0,0,0,1
1,1,18,1,19,4,2,1,3,0,27,2,1,1,0,0,0,0,1,0,1,0,0,0,1
0,0,12,4,21,0,3,2,2,1,30,2,2,1,0,0,1,0,1,0,0,1,0,0,1
0,0,12,1,7,0,3,3,2,0,40,2,1,1,0,0,0,0,1,0,0,1,0,1,0
1,1,12,1,6,0,3,2,2,2,30,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,12,4,19,0,1,2,2,2,34,2,2,1,1,0,0,1,1,0,0,1,0,0,0
1,0,12,4,35,0,3,1,2,0,29,2,2,1,0,0,1,0,0,1,0,1,0,0,1
0,1,48,1,85,4,4,1,2,2,24,2,1,1,0,0,1,0,1,0,0,1,0,0,1
1,0,36,3,69,0,3,2,3,1,29,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,3,15,1,27,0,2,2,3,1,27,0,2,1,0,0,0,0,1,0,0,1,0,1,0
0,3,18,1,20,0,3,2,4,3,47,0,2,1,0,0,0,0,1,0,0,0,0,0,1
0,3,60,1,101,1,4,1,4,0,21,2,1,1,1,0,0,0,1,0,0,1,0,0,1
0,3,12,4,12,4,5,1,2,0,38,2,2,1,1,0,0,0,1,0,0,1,0,0,1
0,3,27,3,86,3,3,2,2,2,27,2,2,1,0,0,0,1,1,0,0,1,0,0,1
1,1,12,1,8,2,3,2,3,0,66,2,1,1,0,0,0,0,1,0,0,1,0,1,0
0,1,15,4,27,4,4,2,2,0,35,0,3,1,1,0,0,0,0,0,0,1,0,0,1
0,2,12,1,19,0,3,1,2,2,44,2,1,1,1,0,0,0,1,0,1,0,0,1,0
0,2,6,1,7,3,2,3,2,0,27,2,1,1,0,1,1,0,1,0,0,1,1,0,0
0,1,36,1,48,0,2,1,1,3,30,2,1,1,1,0,0,0,1,0,0,1,0,0,0
0,0,27,1,34,0,3,2,2,2,27,2,1,1,0,0,0,0,1,0,0,1,0,0,0
1,0,18,1,25,0,3,2,2,2,22,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,3,21,4,23,0,2,1,4,1,23,2,1,1,1,0,0,0,1,0,0,1,0,0,1
0,1,48,0,36,1,4,2,2,2,30,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,6,4,9,0,5,1,4,3,39,2,2,1,1,0,1,0,1,0,0,1,0,0,1
0,3,12,4,7,1,4,1,3,2,51,2,2,1,1,0,1,0,1,0,0,1,0,0,1
0,0,36,4,54,0,3,2,2,1,28,2,2,1,0,0,0,0,0,0,0,1,0,0,1
0,3,18,4,16,3,5,2,4,2,46,2,2,1,0,0,0,0,1,0,0,1,0,0,1
0,3,6,1,13,1,5,2,4,3,42,0,1,2,1,0,0,0,1,0,0,0,0,0,1
0,3,10,1,19,0,3,2,4,1,38,2,1,1,1,1,0,0,1,0,0,1,0,0,1
0,2,36,1,58,0,3,2,1,2,24,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,24,4,78,3,5,1,4,3,29,2,1,1,0,0,0,1,1,0,1,0,0,0,1
0,1,24,3,70,1,4,2,4,2,36,2,1,1,1,0,0,0,1,0,1,0,0,0,0
1,0,12,1,13,0,3,1,4,2,20,2,1,1,0,0,0,0,1,0,1,0,0,0,1
0,0,9,4,13,1,5,2,4,0,48,2,2,2,0,1,0,0,0,0,0,1,0,0,1
0,0,12,0,3,0,5,3,1,2,45,0,1,1,0,0,0,0,1,0,0,1,0,1,0
0,1,24,1,35,1,4,2,3,2,38,0,2,1,1,0,1,0,1,0,0,1,0,0,1
0,3,6,4,19,4,3,2,2,0,34,2,2,2,0,0,0,0,1,0,0,1,0,1,0
0,3,24,4,29,1,5,2,4,0,36,2,1,2,1,0,0,0,1,0,0,1,0,0,1
0,3,18,4,11,0,2,1,1,1,30,2,2,1,0,0,1,0,1,0,0,1,0,0,1
0,3,15,1,13,2,4,2,3,1,36,2,2,1,1,0,0,0,1,0,0,1,0,0,1
0,1,10,1,73,0,1,2,4,3,70,0,1,1,1,0,1,0,1,0,0,0,0,0,0
0,3,36,1,9,2,5,2,4,1,36,2,1,1,0,0,1,0,1,0,0,1,0,0,1
0,3,6,1,30,2,3,2,2,2,32,2,1,1,1,0,0,0,1,0,0,1,0,0,1
1,0,18,1,11,0,1,1,2,2,33,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,11,1,16,3,2,1,1,0,20,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,3,24,1,40,0,4,1,4,1,25,2,1,1,1,0,0,0,1,0,1,0,0,0,1
1,1,24,4,19,0,5,0,4,0,31,2,2,1,1,0,0,0,1,0,0,1,0,0,1
1,0,15,2,10,0,5,2,3,2,33,2,2,2,0,0,1,0,1,0,1,0,0,0,1
0,3,12,1,8,0,3,1,1,0,26,2,1,1,1,0,0,0,1,0,0,1,0,0,1
1,1,24,3,21,0,1,1,2,1,34,2,1,1,1,0,0,0,1,0,0,1,0,0,0
0,1,8,1,14,0,3,2,2,0,33,2,1,1,0,1,0,0,0,0,0,1,0,0,1
1,0,21,3,34,0,2,2,1,1,26,2,2,1,0,0,0,0,1,0,0,1,0,0,1
1,3,30,0,75,4,1,1,1,0,53,0,1,1,1,0,0,1,1,0,0,1,0,0,0
0,0,12,1,26,0,3,0,1,2,42,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,6,4,3,2,5,2,4,2,52,2,2,1,0,0,0,0,1,0,0,1,0,0,1
0,3,12,1,20,0,4,2,2,2,31,2,2,2,1,0,0,0,1,0,1,0,0,0,0
0,0,21,4,6,0,5,2,4,0,65,2,2,1,0,0,1,0,1,0,0,1,0,0,1
1,3,36,3,96,0,2,0,1,2,28,2,2,1,0,0,0,0,1,0,0,1,0,0,1
1,1,36,3,45,0,3,0,2,0,30,1,2,1,1,0,0,0,1,0,0,1,0,0,0
1,0,21,0,16,4,3,2,2,1,40,2,2,2,0,0,1,0,1,0,0,1,0,1,0
0,3,24,4,38,3,3,2,4,0,50,2,1,1,1,0,0,0,1,0,0,1,0,0,1
1,1,18,4,9,0,5,2,4,2,36,0,1,2,1,0,1,0,1,0,0,1,0,0,1
0,3,15,4,14,0,3,2,2,1,31,2,2,1,0,0,0,0,1,0,0,1,0,0,1
1,1,9,0,51,0,5,1,4,3,74,0,1,2,1,0,0,1,1,0,0,0,0,0,0
0,1,16,4,12,0,1,2,3,2,68,2,3,1,1,0,1,0,1,0,0,0,1,0,0
1,0,12,1,7,1,4,3,1,1,20,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,18,2,32,0,3,1,4,2,33,0,2,1,1,0,0,0,1,0,0,1,0,0,1
1,3,24,1,46,3,3,2,3,1,54,2,3,1,1,0,0,0,1,0,0,1,0,0,0
1,1,48,2,38,1,4,2,4,3,34,2,1,2,0,0,0,0,1,0,0,0,0,1,0
1,1,27,1,39,0,3,2,2,2,36,2,1,2,1,0,0,0,1,0,0,1,0,0,1
0,3,6,1,21,0,4,3,2,0,29,2,1,1,0,0,0,0,1,0,1,0,0,0,1
1,1,45,1,30,1,3,2,4,1,21,2,1,1,0,0,0,0,0,0,1,0,0,0,1
1,1,9,4,15,0,5,1,3,2,34,2,2,1,1,0,0,0,1,0,0,1,0,0,0
0,3,6,4,14,0,3,1,1,2,28,2,2,1,1,0,0,0,1,0,0,1,0,0,1
1,1,12,1,10,1,2,1,4,2,27,0,4,1,0,0,0,0,1,0,1,0,0,0,1
0,1,24,1,28,4,5,2,4,3,36,0,1,1,1,0,0,1,1,0,0,0,0,0,1
1,1,18,3,43,0,5,0,3,3,40,2,1,1,1,0,0,0,1,0,0,1,0,0,0
0,3,9,4,9,2,5,2,2,2,52,2,2,1,1,0,0,0,1,0,0,1,0,0,1
0,0,12,1,12,0,3,3,3,0,27,2,1,1,0,0,1,0,1,0,0,1,0,1,0
0,3,27,3,51,0,4,2,4,2,26,2,2,1,0,0,0,0,1,0,0,1,0,0,1
1,0,12,1,9,0,4,3,4,1,21,2,1,1,0,0,0,0,1,0,1,0,0,0,1
0,3,12,4,15,0,5,2,1,0,38,2,2,2,0,0,1,0,1,0,0,1,0,1,0
0,0,30,4,106,0,5,2,4,3,38,2,3,2,1,0,0,1,1,0,0,0,0,0,0
0,3,12,4,19,0,5,2,4,0,43,2,3,1,1,0,0,0,1,0,0,1,0,0,1
0,1,12,4,14,0,4,2,3,1,26,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,24,1,66,0,3,3,2,2,21,1,1,1,0,0,0,0,1,0,0,1,0,1,0
0,3,12,1,14,3,4,2,2,1,55,2,1,1,0,1,0,1,1,0,0,1,0,0,1
0,3,9,4,31,4,3,2,2,0,33,2,2,2,0,0,0,0,1,0,0,1,0,0,1
0,3,36,1,38,4,5,1,4,0,45,2,1,1,1,0,0,0,1,0,0,1,0,1,0
1,0,27,2,53,0,1,2,4,1,50,1,2,1,1,0,0,0,1,0,0,1,0,0,1
1,2,30,3,19,0,5,2,4,0,66,2,1,1,1,0,0,0,1,0,0,1,0,0,0
0,3,36,4,33,4,5,2,2,2,51,2,1,1,1,0,0,0,1,0,0,1,0,0,1
0,1,6,4,9,4,4,1,3,1,39,2,2,1,0,0,0,0,1,0,0,1,0,1,0
0,0,18,2,31,0,4,2,1,1,31,0,1,1,1,0,0,0,1,0,0,1,0,0,1
0,2,36,1,39,0,3,2,2,0,23,2,1,1,1,0,0,0,1,0,0,1,0,0,1
0,0,24,1,30,0,3,0,2,0,24,2,1,1,0,0,0,0,1,0,1,0,0,1,0
0,3,10,1,14,0,3,1,4,2,64,2,1,1,1,0,1,0,1,0,0,1,0,0,1
0,1,12,1,6,0,2,3,1,0,26,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0,0,12,1,12,4,3,1,4,1,23,0,1,1,1,0,0,0,1,0,1,0,0,0,1
0,3,12,1,7,0,3,2,2,0,30,0,2,1,0,0,0,0,1,0,0,1,0,0,1
0,3,24,3,30,4,3,2,4,0,32,2,2,2,1,0,0,0,1,0,0,1,0,0,1
0,3,15,1,47,0,3,2,2,2,30,2,1,1,1,0,0,1,1,0,0,1,0,0,1
0,3,36,2,26,0,3,2,2,2,27,2,2,1,0,0,0,0,1,0,0,1,0,0,1
1,1,48,1,110,3,4,2,2,3,27,0,2,1,1,0,0,0,0,1,0,1,0,0,1
1,0,12,1,79,0,5,2,4,3,53,2,1,1,1,0,0,0,1,0,0,0,0,0,0
1,3,9,1,15,0,4,2,2,2,22,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,24,1,31,0,2,2,1,3,22,0,1,1,0,0,0,0,1,0,0,0,0,0,1
1,2,36,1,42,0,3,2,2,2,26,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,3,9,1,25,2,5,2,4,3,51,2,1,1,0,0,1,0,1,0,0,0,0,1,0
0,3,12,1,21,1,4,2,1,3,35,2,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,18,1,9,0,3,3,2,0,25,2,1,1,0,0,0,0,0,0,0,1,0,1,0
0,3,4,4,15,0,4,2,1,0,42,2,3,2,0,0,0,0,1,0,0,1,0,1,0
1,0,24,1,18,0,1,2,2,2,30,1,1,2,0,0,0,0,1,0,0,1,0,0,0
1,1,6,1,146,4,1,2,2,1,23,2,1,1,1,0,1,0,1,0,0,1,1,0,0
1,1,21,1,28,1,5,0,2,2,61,0,2,1,0,0,0,0,1,0,1,0,0,1,0
0,3,12,4,13,0,3,1,2,1,35,2,2,1,0,0,0,0,1,0,0,1,0,0,1
0,0,30,1,25,0,5,2,3,1,39,2,1,2,0,0,0,0,0,0,0,1,0,0,1
1,0,24,1,9,4,5,1,2,2,29,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,3,6,1,16,0,4,2,2,1,51,2,1,2,0,0,0,0,1,0,0,1,0,0,1
1,0,48,2,46,0,5,2,4,3,24,2,2,2,0,0,0,1,1,0,0,0,0,0,1
0,3,12,4,12,0,3,1,2,0,27,2,2,1,0,0,0,0,1,0,0,1,0,0,1
